 "n" , "nmvw_actor" ,
 "12" , "https://hdl.handle.net/20.500.11840/pi1541" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1542" ,
 "16" , "https://hdl.handle.net/20.500.11840/pi1544" ,
 "130" , "https://hdl.handle.net/20.500.11840/pi1545" ,
 "3" , "https://hdl.handle.net/20.500.11840/pi1546" ,
 "28" , "https://hdl.handle.net/20.500.11840/pi155" ,
 "138" , "https://hdl.handle.net/20.500.11840/pi1550" ,
 "16" , "https://hdl.handle.net/20.500.11840/pi1551" ,
 "14" , "https://hdl.handle.net/20.500.11840/pi1552" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1553" ,
 "3" , "https://hdl.handle.net/20.500.11840/pi1554" ,
 "7" , "https://hdl.handle.net/20.500.11840/pi1555" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1557" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1558" ,
 "8" , "https://hdl.handle.net/20.500.11840/pi1559" ,
 "4" , "https://hdl.handle.net/20.500.11840/pi156" ,
 "3" , "https://hdl.handle.net/20.500.11840/pi1560" ,
 "6" , "https://hdl.handle.net/20.500.11840/pi1561" ,
 "38" , "https://hdl.handle.net/20.500.11840/pi1562" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1564" ,
 "16" , "https://hdl.handle.net/20.500.11840/pi1565" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1566" ,
 "22" , "https://hdl.handle.net/20.500.11840/pi1567" ,
 "13" , "https://hdl.handle.net/20.500.11840/pi1570" ,
 "3" , "https://hdl.handle.net/20.500.11840/pi1571" ,
 "10" , "https://hdl.handle.net/20.500.11840/pi1572" ,
 "125" , "https://hdl.handle.net/20.500.11840/pi1573" ,
 "823" , "https://hdl.handle.net/20.500.11840/pi1576" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi158" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1581" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1583" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1588" ,
 "13" , "https://hdl.handle.net/20.500.11840/pi1592" ,
 "5" , "https://hdl.handle.net/20.500.11840/pi1593" ,
 "4" , "https://hdl.handle.net/20.500.11840/pi1594" ,
 "9" , "https://hdl.handle.net/20.500.11840/pi1595" ,
 "3" , "https://hdl.handle.net/20.500.11840/pi1596" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1597" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1598" ,
 "2" , "https://hdl.handle.net/20.500.11840/pi1599" ,
 "10" , "https://hdl.handle.net/20.500.11840/pi16" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi160" ,
 "13" , "https://hdl.handle.net/20.500.11840/pi1601" ,
 "28" , "https://hdl.handle.net/20.500.11840/pi1602" ,
 "9" , "https://hdl.handle.net/20.500.11840/pi1603" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1604" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1605" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1606" ,
 "28" , "https://hdl.handle.net/20.500.11840/pi1607" ,
 "28" , "https://hdl.handle.net/20.500.11840/pi1609" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1610" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1611" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1612" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1614" ,
 "3" , "https://hdl.handle.net/20.500.11840/pi1615" ,
 "8" , "https://hdl.handle.net/20.500.11840/pi1616" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1617" ,
 "4" , "https://hdl.handle.net/20.500.11840/pi1618" ,
 "3" , "https://hdl.handle.net/20.500.11840/pi1619" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1621" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1622" ,
 "1" , "https://hdl.handle.net/20.500.11840/pi1624" ,
